timestamp_range,cause_text,emotion_text
"00:01:13,479 --> 00:01:24,479","OK, so, why should you never take fungus on an aeroplane?",LAUGHTER
"00:01:13,479 --> 00:01:24,479","OK, so, why should you never take fungus on an aeroplane?",LAUGHTER
"00:01:38,480 --> 00:01:59,480",Do you know that Bruce Lee had a brother who was a vegan? His name was Broccoli.,LAUGHTER
"00:02:24,479 --> 00:02:32,479",I went into the codec store to steal something.,LAUGHTER
"00:03:28,479 --> 00:03:32,479",That was pretty good. That was good. That was good.,Yeah.
"00:03:45,479 --> 00:03:50,479","And she went, thanks for the bag, Dad.",Oh!
"00:03:48,479 --> 00:03:52,479",Oh!,That was so good.
"00:04:24,480 --> 00:04:28,480",The seat.,"Oh, yes, yes."
"00:04:24,480 --> 00:04:26,480",What?,The seat.
"00:04:25,480 --> 00:04:28,480",The seat.,"Oh, yes, yes."
"00:04:45,480 --> 00:04:50,480",Non binary.,That's good.
"00:05:40,480 --> 00:05:45,480",You had a four-kilo four-skit.,"Oh, thank you."
"00:05:43,480 --> 00:05:48,480","Oh, thank you.","It's four kilos, but it's very small."
"00:07:44,480 --> 00:07:49,480",It was a shitsoo.,"Yeah, I got to take that."
"00:07:44,480 --> 00:07:50,480",It was a shitsoo.,I'll take that.
"00:07:44,480 --> 00:07:51,480",It was a shitsoo.,That's good.
"00:08:08,480 --> 00:08:10,480",I'm back baby.,Oh yeah.
"00:08:49,480 --> 00:08:51,480",He's not allowed any bishops.,He's back baby.
"00:08:47,480 --> 00:08:53,480",He's not allowed any bishops.,That's a pretty good joke.
"00:10:38,840 --> 00:10:46,559",I guess I winged the Wong number.,"That was so funny, man."
"00:10:44,559 --> 00:10:48,559","That was so funny, man.",That was good.
"00:10:46,559 --> 00:10:53,559",That was good.,"That was really good, man."
"00:10:50,559 --> 00:10:54,559","That was really good, man.",That was amazing.
"00:10:57,559 --> 00:11:00,559",You loved it.,I loved it because we were so dumb.
"00:10:38,840 --> 00:10:46,559",I guess I winged the Wong number.,"That was so funny, man."
"00:10:58,559 --> 00:11:08,559",I loved it because we were so dumb.,That was cool.
"00:11:14,559 --> 00:11:19,559",Michael Phelps can finish a race.,"Oh, my God."
"00:12:48,559 --> 00:12:53,559",You said I touch kids with their own hands.,"Okay, you made me laugh, son."
"00:12:48,559 --> 00:12:53,559",You said I touch kids with their own hands.,"Okay, you made me laugh, son."
"00:12:51,559 --> 00:12:57,559","Okay, you made me laugh, son.",I love that.
"00:13:09,559 --> 00:13:11,559",Is that what you're doing?,"Yeah, this is great."
"00:13:10,559 --> 00:13:12,559","Yeah, this is great.","Yeah, this is fun."
"00:13:23,559 --> 00:13:33,559",What do you call a line of people at a gay bar?,That was great.
"00:13:05,559 --> 00:13:09,559",This is the craziest one.,I don't think I've been on a crazy...
"00:13:09,559 --> 00:13:11,559",Is that what you're doing?,"Yeah, this is great."
"00:13:10,559 --> 00:13:12,559","Yeah, this is great.","Yeah, this is fun."
"00:13:23,559 --> 00:13:29,559",What do you call a line of people at a gay bar?,An LGBTQ?
"00:13:30,559 --> 00:13:34,559",That was great.,That was great.
"00:13:33,559 --> 00:13:35,559",That was great.,That was great.
"00:13:34,559 --> 00:13:36,559",That was great.,That was great.
"00:13:35,559 --> 00:13:37,559",That was great.,"No, it's good."
"00:14:27,559 --> 00:14:32,559","A sleep, because that motherfucker's dreaming.",Oh my God.
"00:14:52,559 --> 00:14:56,559",What do you call a white man with a big ***?,Michael Jackson.
"00:14:55,559 --> 00:14:57,559",Michael Jackson.,Hee hee.
"00:14:58,559 --> 00:15:06,559",I can't believe it.,Oh yeah!
"00:15:03,559 --> 00:15:07,559",Oh yeah!,Woo!
"00:15:06,559 --> 00:15:08,559",Woo!,Yeah!
"00:15:08,559 --> 00:15:16,559",Another white woman winning in life.,Fuck yes.
"00:14:55,559 --> 00:15:06,559",Michael Jackson.,Oh yeah!
"00:14:58,559 --> 00:15:06,559",I can't believe it.,Oh yeah!
"00:15:08,559 --> 00:15:16,559",Another white woman winning in life.,Fuck yes.
