timestamp_range,cause_text,emotion_text
"00:00:25,000 --> 00:00:32,000",You make me laugh.,"Oh, my God."
"00:02:36,000 --> 00:02:42,000","Oh, pun.",You're so good.
"00:04:36,000 --> 00:04:49,000","Great, because Emily and I are getting married in a month.",That's great.
"00:05:11,000 --> 00:05:16,000",Because the night you kissed Rachel was the night I kissed Rachel,for the very first time.
"00:06:12,000 --> 00:06:21,000",You were under the pile of coats?,"Oh, my God! You were my midnight mystery kisser!"
"00:06:16,000 --> 00:06:25,000","Oh, my God! You were my midnight mystery kisser!",You were my first kiss with Rachel?
"00:06:21,000 --> 00:06:30,000",You were my first kiss with Rachel?,You were my first kiss ever!
"00:06:14,000 --> 00:06:25,000",I was the pile of coats.,You were my midnight mystery kisser!
"00:06:21,000 --> 00:06:33,000",You were my midnight mystery kisser!,You were my first kiss ever!
"00:07:11,000 --> 00:07:24,000",So the smaller piece.,FUN!
"00:07:23,000 --> 00:07:26,000",FUN!,Oh!
"00:08:39,000 --> 00:08:43,000",Wait a minute. I can get ice at the restaurant.,I got it on!
"00:09:05,000 --> 00:09:14,000","We have crushed, cube, and dry.",Mystical.
"00:10:59,000 --> 00:11:04,000","Hey, my favorite part is coming up.",OK.
"00:17:38,000 --> 00:17:43,000",I'm wearing everything you want.,"Oh, my God."
"00:17:36,000 --> 00:17:43,000",You hide my clothes.,"Oh, my God."
"00:19:03,000 --> 00:19:09,000","I know, I went to the tanning place and the same thing happened to me. You have to let me in.",Really?
"00:23:31,000 --> 00:23:37,000",You're right. You're right. She'll just tell her the truth Гей!,"Hey, Hey! Hey! Hey! Hey!"
"00:25:46,000 --> 00:25:53,000","Me, I'm more free. You know, I run like I did when I was a kid.",Because it's the only way it's fun. You know?
"00:28:26,000 --> 00:28:33,000","Oh, thanks.","Now, I could pass for 19, right?"
"00:29:37,000 --> 00:29:44,000","In 20 seconds, it'll be midnight.",And the moment of joy is upon us.
"00:30:26,000 --> 00:30:33,000","Somebody kiss me, it's midnight! Somebody kiss me, it's midnight!","Oh, yeah!"
"00:32:45,000 --> 00:32:54,000",I said I wanted it like Demi Moore.,Oh my god. Oh my god. Oh my god.
"00:33:03,000 --> 00:33:08,000","Oh, oh, she's got gorgeous hair.",I know. Oh my god.
"00:34:29,000 --> 00:34:48,000","Yeah. Hey, thanks for giving me that girl's number.","Oh my god, dude! I can't believe you did this!"
"00:35:41,000 --> 00:35:55,000",I'm so happy for you guys.,"I'll tell you what. For now, we'll make time to hang out with each other."
"00:35:38,000 --> 00:35:43,000",I'm married now.,I'm so happy for you guys.
"00:37:30,000 --> 00:37:50,000",Hey! They totally matched. They look great.,"Hey, Chandler. Thank you so much."
"00:37:30,000 --> 00:37:37,000",Hey! They totally matched. They look great.,"Look, great. How you doing?"
"00:39:07,000 --> 00:39:13,000","Anyway, you're not going to believe that my character is coming out of his coma.","Oh, it's all right!"
"00:39:07,000 --> 00:39:13,000","Anyway, you're not going to believe that my character is coming out of his coma.","Oh, it's all right!"
"00:40:36,000 --> 00:40:44,000","Oh, yeah. Oh, she went to the salon, all right.",Who's date just got better?
"00:40:42,000 --> 00:40:47,000",Who's date just got better?,Chandler!
"00:44:07,000 --> 00:44:12,000","Listen, Joey, we definitely want to see you for the call back on Saturday.",Excellent.
"00:45:37,000 --> 00:45:43,000",I want you to take these dances and teach them the combination.,What?
