timestamp_range,cause_text,emotion_text
"00:02:08,480 --> 00:02:15,120",because Farell was stuck off a space cookie.,LAUGHTER
"00:02:40,639 --> 00:02:49,039",And I opened up my mouth to pretend to catch the ball.,It was amazing.
"00:03:52,000 --> 00:03:57,920",Get this one.,LAUGHTER
"00:04:03,120 --> 00:04:06,800",And I was zik-a-git.,LAUGHTER
"00:04:17,680 --> 00:04:26,000",This is the cake you made.,LAUGHTER
"00:05:04,399 --> 00:05:17,199","Now, that'd be nice if you'd visit us round for Christmas.",I love it.
"00:05:16,000 --> 00:05:19,199",I love it.,LAUGHTER
"00:06:02,800 --> 00:06:07,400",and then I replaced the baby Jesus with a ham.,LAUGHTER
"00:07:17,199 --> 00:07:23,199","is fine, but, except, it's much more unpleasant than it was when I moved in, obviously,",because I've been living there.
"00:07:52,199 --> 00:07:56,199","Now, what sort of shit old do you live in?",LAUGHTER
"00:09:38,200 --> 00:09:43,200",You've done a lot of work.,"Oh, my god."
"00:09:40,200 --> 00:09:51,200",You've done a lot of work.,I've done a lot of work.
"00:10:29,200 --> 00:11:17,200",I'll give a thousand pounds to charity if you do a car wheel.,Oh.
"00:12:43,200 --> 00:12:48,200",I think it's possible.,You've made me believe.
"00:13:12,200 --> 00:13:16,200","You and Matt Damon, very excited to see you.",Lucky me.
"00:13:27,200 --> 00:13:30,200","You and Matt Damon, very excited to see you.",Lucky me.
