timestamp_range,cause_text,emotion_text
"00:00:54,000 --> 00:00:56,000",You look beautiful.,Thank you.
"00:01:45,000 --> 00:01:57,000",What do you call a woman who loves small dicks?,"Oh, that's me."
"00:04:23,439 --> 00:04:43,439",My girlfriend left me because she caught me in bed with some pasta.,Yes!
"00:04:54,439 --> 00:05:07,439",You're so good.,I've been trying.
"00:04:43,439 --> 00:05:00,439","I wrote an anti-capitalist pasta sauce book, The Communist Manipesto.",You're so good.
"00:06:03,439 --> 00:06:10,439",The walk.,"Erm, that's funny."
"00:06:58,439 --> 00:07:02,439",Lorraine broke up with me.,Because I can see Claire Lee now.
"00:10:23,440 --> 00:10:31,440","Because every time they're out of corner, they open a store.","Oh, it's like a Indians."
"00:12:29,440 --> 00:12:45,440",That is so much fun.,"Oh, my gosh."
"00:12:29,440 --> 00:12:35,440",That is so much fun.,It's all good.
"00:14:05,440 --> 00:14:11,440",You were actually very good.,Oh. I love this.
"00:14:07,440 --> 00:14:13,440",You were actually very good.,I feel like you should do the damn.
"00:14:35,440 --> 00:14:41,440","They both hold stiffs, but ones coming and ones going.","Okay, yeah, yeah, yeah."
"00:15:17,440 --> 00:15:23,120","It's like, well, it's clear skies for the rest of the day.",Whoop-de-doo!
"00:17:01,200 --> 00:17:04,200",I killed the one.,Woo!
"00:17:01,200 --> 00:17:04,200",I killed the one.,Woo!
