timestamp_range,cause_text,emotion_text
"00:01:07,439 --> 00:01:11,439",Seems like Ian's going to be the one that Foxpaten.,LAUGHTER
"00:01:12,439 --> 00:01:17,240",That's the nicest thing someone ever said to me.,LAUGHTER
"00:01:46,840 --> 00:01:49,840",Oh!,"This is the title of this work, though."
"00:02:25,360 --> 00:02:33,360",What do you call a rooster that's not good at maths?,A math and a chicken.
"00:02:29,360 --> 00:02:33,360",A disappointment?,A math and a chicken.
"00:02:54,360 --> 00:02:57,360",You're not a chicken.,I'm not. Thank you.
"00:04:45,360 --> 00:04:49,360",You're telling me I don't have to worry about nicks or cuts?,Mm-hmm.
"00:05:47,360 --> 00:05:52,360",What?,Yogurt grows a culture if you leave it alone for 200 years.
"00:05:52,360 --> 00:06:14,360",Oh!,you're just talking to your Uber driver?
"00:06:14,360 --> 00:06:33,360",No!,I don't know why.
"00:06:16,360 --> 00:06:21,360",Five stars with a joke in there.,No!
"00:06:33,360 --> 00:06:40,360","Yeah, I love it.",Oh!
"00:07:31,360 --> 00:07:37,360","Yeah, but she only sashimi as a friend.",LAUGHTER
"00:07:31,360 --> 00:07:37,360","Yeah, but she only sashimi as a friend.",LAUGHTER
"00:07:58,360 --> 00:08:04,360","Yeah, well it's called Leave Me The Fault, Collode.",LAUGHTER
"00:08:01,360 --> 00:08:07,360",LAUGHTER,LAUGHTER
"00:08:07,360 --> 00:08:12,360",That was good.,LAUGHTER
"00:08:15,360 --> 00:08:19,360",That's right.,LAUGHTER
"00:08:26,360 --> 00:08:30,360",You might make up today.,LAUGHTER
"00:08:28,360 --> 00:08:32,360",LAUGHTER,LAUGHTER
"00:08:38,360 --> 00:08:41,360",Oh!,"Oh, my God."
"00:08:39,360 --> 00:08:43,360","Oh, my God.",LAUGHTER
"00:09:12,360 --> 00:09:19,360","Yeah, they asked him to leave, but he said, nah, mustay.",LAUGHTER
"00:09:20,360 --> 00:09:29,360",What did Damon's brush their teeth with? Helsinki.,LAUGHTER
"00:09:23,360 --> 00:09:29,360",Helsinki.,LAUGHTER
"00:09:58,360 --> 00:10:01,360",LAUGHTER,"We love you, Peyton."
"00:10:03,360 --> 00:10:06,360","Yeah, fuck me.",LAUGHTER
"00:10:45,360 --> 00:10:49,360",Mozilla.,LAUGHTER
"00:11:11,360 --> 00:11:21,360","OK, what's the difference between raw ray and a bucket of shit?",LAUGHTER
"00:11:39,360 --> 00:11:43,360",That $3 is coming back to me.,LAUGHTER
"00:11:16,360 --> 00:11:21,360",The bucket.,LAUGHTER
"00:11:39,360 --> 00:11:43,360",That $3 is coming back to me.,LAUGHTER
"00:12:19,360 --> 00:12:27,360",Because those kids are ruining our strip club experience.,LAUGHTER
"00:12:34,360 --> 00:12:38,360",That's what Pat's always there.,LAUGHTER
"00:12:44,360 --> 00:12:48,360",He's got damn sexy kids.,LAUGHTER
"00:12:55,360 --> 00:12:59,360","Bye, Dan!",LAUGHTER
"00:12:19,360 --> 00:12:27,360","and people are complaining, right? Because those kids are ruining our strip club experience.",LAUGHTER
"00:12:31,360 --> 00:12:38,360","So the kids are in the strip club, so... That's what Pat's always there.",LAUGHTER
"00:12:44,360 --> 00:12:48,360",He's got damn sexy kids.,LAUGHTER
"00:12:48,360 --> 00:12:59,360","What did Trump say when Joe dropped out of the presidential race? What did he say? Bye, Dan!",LAUGHTER
"00:13:05,360 --> 00:13:11,360","Bye, he's gay. He's old and he's gay.",LAUGHTER
"00:13:11,360 --> 00:13:18,360","Topical, Pat, and Topical. Thank you.",LAUGHTER
"00:13:18,360 --> 00:13:24,360","Patents like, yeah, that was a pretty tropical joke.",LAUGHTER
"00:13:24,360 --> 00:13:28,360",I guess that was pretty tropical.,LAUGHTER
"00:13:47,360 --> 00:13:52,360","More like 40-mouth, yes, please.",LAUGHTER
"00:13:59,360 --> 00:14:05,360","Hey, you crooks off. Just walk forward and activate it.",LAUGHTER
"00:14:07,360 --> 00:14:13,360",That's really good.,Oh my god.
"00:15:00,360 --> 00:15:07,360",A test tickle.,That's good.
"00:14:46,360 --> 00:14:54,360","I just want to be like you, Seth.",Oh my god.
"00:14:59,360 --> 00:15:07,360",A test tickle.,That's good.
"00:15:46,360 --> 00:15:55,360",How did you know? I actually did have toast this morning.,Yeah!
"00:16:26,360 --> 00:16:37,360",I broke up with a girl who wanted to go to the gym together. I just couldn't see us working out.,What's cute?
"00:17:01,360 --> 00:17:09,360",Did you hear the one about the Chinese godfather?,LAUGHTER
"00:17:07,360 --> 00:17:13,360",LAUGHTER,LAUGHTER
"00:17:19,359 --> 00:17:25,359",Not me.,"You got the my daughter, Wendy!"
"00:17:21,359 --> 00:17:27,359","You got the my daughter, Wendy!",LAUGHTER
"00:17:25,359 --> 00:17:29,359",LAUGHTER,LAUGHTER
"00:17:35,359 --> 00:17:39,359",LAUGHTER,"That was a good joke, Kaded."
"00:17:05,360 --> 00:17:09,360",He made them an offer they couldn't understand.,LAUGHTER
"00:17:21,359 --> 00:17:27,359","You got the my daughter, Wendy!",LAUGHTER
"00:17:49,359 --> 00:17:55,359",Ravagy.,Yeah!
"00:18:09,359 --> 00:18:13,359",So we just let him live.,LAUGHTER
"00:18:31,359 --> 00:18:35,359","No, I was so good.",Yeah!
"00:18:21,359 --> 00:18:25,359",That's good.,LAUGHTER
"00:18:31,359 --> 00:18:35,359","No, I was so good.",Yeah!
