timestamp_range,cause_text,emotion_text
"00:00:23,000 --> 00:00:27,000",I got her.,I've won!
"00:00:33,000 --> 00:00:38,000",Matt wins.,Yeah!
"00:01:13,000 --> 00:01:15,000",Mini golf.,Cute.
"00:03:04,919 --> 00:03:07,919",None of them are straight.,Yeah.
"00:03:04,919 --> 00:03:11,919",None of them are straight.,I like that one.
"00:03:47,919 --> 00:03:49,919",Megabytes.,"Yeah, nice."
"00:03:47,919 --> 00:03:49,919",Megabytes.,"Yeah, nice."
"00:04:26,920 --> 00:04:36,920",Also get yourself four months for free.,Yee!
"00:05:09,920 --> 00:05:13,920","Oh, that's...","Oh, my God."
"00:05:00,920 --> 00:05:03,920",Because it was a bono.,I love bono stuff.
"00:05:09,920 --> 00:05:14,920","Oh, that's...",That's so good.
"00:06:28,920 --> 00:06:42,920","Yep. Cool. So I got kicked out of the hospital one time. Apparently, the sign for Stroke patients here meant something totally different.","Hi, that was a good one."
"00:06:42,920 --> 00:06:51,620","To get that one, she's jerking them off. Yeah, I get it. Never done it, but I get it.",Hahahaha!
"00:06:56,520 --> 00:07:00,620","Anel sex is a lot like Brussels sprouts. If you had it as a child, you weren't like it as an adult.",Hahahaha!
"00:07:27,420 --> 00:07:30,920",You reload.,Oh!
"00:07:27,420 --> 00:07:31,920",You reload.,Hahahaha!
"00:07:27,420 --> 00:07:30,920",You reload.,Oh!
"00:07:27,420 --> 00:07:31,920",You reload.,Hahahaha!
"00:07:27,420 --> 00:07:33,920",You reload.,Yes!
"00:07:58,120 --> 00:08:02,120",A butt load.,Hahahaha!
"00:08:10,120 --> 00:08:13,120",High as fuck!,Hahahaha!
"00:08:10,120 --> 00:08:13,120",High as fuck!,Hahahaha!
"00:10:34,120 --> 00:10:48,120",And there's just something about the way she was counting the birds.,Yes!
"00:10:34,120 --> 00:10:50,120",And there's just something about the way she was counting the birds.,Yes!
"00:10:34,120 --> 00:10:52,120",And there's just something about the way she was counting the birds.,Yes!
"00:10:34,120 --> 00:10:56,120",And there's just something about the way she was counting the birds.,Yes!
"00:11:12,120 --> 00:11:15,120",I got you one ready.,"Oh, thank you."
"00:14:45,120 --> 00:15:00,120",where she is on her period?,Oh my god!
"00:15:12,120 --> 00:15:18,120",That wins!,Wow!
"00:15:23,120 --> 00:15:30,120",That was such a good joke!,"Yeah, that last joke is definitely worth more than one point."
"00:15:23,120 --> 00:15:30,120",That was such a good joke!,"Yeah, that last joke is definitely worth more than one point."
