timestamp_range,cause_text,emotion_text
"00:01:56,959 --> 00:02:01,479",and I'd forgotten the purse and I had to go home for it.,LAUGHTER
"00:02:08,280 --> 00:02:12,719","another part of my brain would have stepped in and gone,",LAUGHTER
"00:02:31,879 --> 00:02:36,280",I'll tell you where you're going wrong with the office.,LAUGHTER
"00:02:38,479 --> 00:02:44,079","I'm thinking, yeah, because you know about stories,",LAUGHTER
"00:02:51,719 --> 00:03:08,039","And for no reason, this kid just took his shoe off,",LAUGHTER
"00:02:55,000 --> 00:03:08,039",just lobbed it in the air.,LAUGHTER
"00:02:56,359 --> 00:03:08,039","For no reason, it came flying down.",LAUGHTER
"00:02:58,319 --> 00:03:08,039",It landed in my suit.,LAUGHTER
"00:02:59,639 --> 00:03:08,039","But I swear, just no one else has touched.",LAUGHTER
"00:03:02,159 --> 00:03:08,039",I'm covered in it.,LAUGHTER
"00:03:03,759 --> 00:03:08,039","And the mother, Lisa, just went,",LAUGHTER
"00:03:05,360 --> 00:03:08,039","oh, wassy like.",LAUGHTER
"00:03:13,879 --> 00:03:17,039",He's like a f***ing...,LAUGHTER
"00:03:41,120 --> 00:03:43,479",And look at this picture.,How fabulous.
"00:03:39,479 --> 00:03:42,479",And look at this picture.,How fabulous.
"00:04:52,599 --> 00:04:59,279",You were quite high up on that list.,"Oh, no!"
"00:05:12,760 --> 00:05:17,680",And may I shaving?,"Oh, come on. That's delicious."
"00:07:14,000 --> 00:07:16,319",But it got raw.,It's so good.
"00:09:06,080 --> 00:09:10,400",but this is what you're talking about.,"Oh, I love it!"
"00:09:25,920 --> 00:09:29,919","I see mango, I want you and your name.",I love it!
"00:09:23,920 --> 00:09:29,919","I see mango, I want you and your name.",I love it!
"00:10:34,919 --> 00:10:42,919",That is lovely.,I love it.
"00:11:37,919 --> 00:11:40,919",There's Kelly.,Hello.
"00:10:34,919 --> 00:10:42,919",That is lovely.,I love it.
"00:11:35,919 --> 00:11:40,919","Now, it's Kelly's here.",I love Kelly.
"00:14:11,919 --> 00:14:23,919",that it's a water and liquid proof.,Oh!
"00:14:11,919 --> 00:14:23,919",that it's a water and liquid proof.,Oh!
"00:14:11,919 --> 00:14:26,919",that it's a water and liquid proof.,Oh!
"00:14:11,919 --> 00:14:29,919",that it's a water and liquid proof.,Oh!
"00:14:39,919 --> 00:14:46,919","It's not a free barbell, apparently.",All right.
"00:14:39,919 --> 00:14:46,919",It's also dust and micro particle proof.,All right.
"00:14:56,919 --> 00:15:15,919","to shock an impact, Neil.",Wow.
