timestamp_range,cause_text,emotion_text
"00:02:54,680 --> 00:03:14,680","Oh, that's great.","I'm back, baby."
"00:02:54,680 --> 00:03:09,680","Oh, that's great.",It was just good.
"00:03:03,680 --> 00:03:09,680",An LGBTQ.,It was just good.
"00:04:03,680 --> 00:04:09,680",It just looks like my film.,Oh my god!
"00:05:09,680 --> 00:05:15,680",Because you can get an extra four months for free using the link in the description below.,"Oh, use the QR code."
"00:07:29,680 --> 00:07:39,680","No, that was good, that was funny, I like that.",What do you call a low budget terrorist attack?
"00:11:12,679 --> 00:11:16,679","Dude, you've done like 100 miles of me.",I'm so happy with these.
"00:11:12,679 --> 00:11:16,679","Dude, you've done like 100 miles of me.",I'm so happy with these.
"00:12:00,679 --> 00:12:03,679","That's not funny, I respect Asians.",That's funny!
"00:12:41,679 --> 00:12:45,679",Is it you made me laugh from just being a dumb...,This is f***ing the X!
"00:12:41,679 --> 00:12:45,679",Is it you made me laugh from just being a dumb...,This is f***ing the X!
