timestamp_range,cause_text,emotion_text
"00:00:21,000 --> 00:00:24,000","Oh, thanks, guys.","Oh, no."
"00:01:10,000 --> 00:01:28,000",Men usually miss them all.,You're laughing.
"00:03:39,000 --> 00:03:42,000",My dog returned home after going for a walk.,Oh.
"00:03:41,000 --> 00:03:45,000",Oh.,It's good.
"00:03:39,000 --> 00:03:42,000",My dog returned home after going for a walk.,Oh.
"00:05:44,000 --> 00:05:50,000","Well, what's the difference between Iron Man and Iron Woman?","One's a superhero, one's a command."
"00:05:47,000 --> 00:05:59,000","One's a superhero, one's a command.",I really like that one.
"00:05:47,000 --> 00:06:01,000","One's a superhero, one's a command.",That's great.
"00:06:10,000 --> 00:06:14,000","It's good one, I really like that one.",I really like that one.
"00:05:56,000 --> 00:06:01,000",I really like that one.,That's great.
"00:07:35,000 --> 00:07:40,000",Because pictures be crazy.,I like them.
"00:07:35,000 --> 00:07:40,000",Because pictures be crazy.,I like them.
"00:10:40,000 --> 00:10:44,000",Why do you never find petafiles and bars?,"Oh, yeah."
"00:14:09,000 --> 00:14:15,000",Love you.,I don't think I've ever laughed up much in one of these.
"00:14:03,000 --> 00:14:11,000","I did the couch, the day from first shot.",Love you.
