timestamp_range,cause_text,emotion_text
"00:00:08,000 --> 00:00:12,000",You're in it! You're in it!,You're on the poster!
"00:01:38,000 --> 00:01:46,000",Ryan got that on tape.,This is a great part for Ryan Gosling.
"00:01:42,000 --> 00:01:48,000",This is a great part for Ryan Gosling.,LAUGHTER
"00:02:29,000 --> 00:02:31,000","No, I thought...",But I love you too.
"00:02:30,000 --> 00:02:32,000",But I love you too.,Wow.
"00:02:42,000 --> 00:02:52,000",I love Graham.,No!
"00:03:31,000 --> 00:03:35,000","I kind of believe he was English, because his accent was so flawless and get out.","And I was like, oh my god."
"00:03:31,000 --> 00:03:35,000",because his accent was so flawless and get out.,"And I was like, oh my god."
"00:03:49,000 --> 00:03:51,000",I met Denzel.,Ooh.
"00:04:14,000 --> 00:04:19,000","And then he goes, come meet Oprah.","And then I was like, oh, come meet Oprah."
"00:05:26,000 --> 00:05:40,000",I loved the Lion King when I was younger,Look at her face. She's so sweet.
"00:07:30,000 --> 00:07:44,000",And this bloke shout's out me.,"And I said, well, you're a f***er."
"00:07:30,000 --> 00:07:44,000",And this bloke shout's out me.,"And I said, well, you're a f***er."
"00:09:23,000 --> 00:09:29,000",I went into the shop and I had to get milk and bread.,LAUGHTER
"00:09:57,000 --> 00:10:12,000","When my groceries jump in the back of the car, screaming and thumping the back of the chair,",LAUGHTER
"00:10:48,000 --> 00:10:55,000","And Stanley might reply, well, I'm going to get the sausage and the father-in-law.",LAUGHTER
"00:11:17,000 --> 00:11:23,000",And I don't think anyone wants this German-type sexual harassment.,LAUGHTER
"00:10:48,000 --> 00:10:55,000","And Stanley might reply, well, I'm going to get the sausage and the father-in-law.",LAUGHTER
"00:11:17,000 --> 00:11:23,000",And I don't think anyone wants this German-type sexual harassment.,LAUGHTER
"00:12:29,000 --> 00:12:33,000",And then they just cow something.,LAUGHTER
"00:13:27,000 --> 00:13:32,000",Why not have some chocolate puke?,LAUGHTER
"00:13:43,000 --> 00:13:47,000",Sweet tight pussy.,LAUGHTER
"00:14:22,000 --> 00:14:30,000","They gave me that red volume, which is beautiful.","And with my last day in Hobbitin, it was pretty magical."
"00:14:27,000 --> 00:14:32,000","And with my last day in Hobbitin, it was pretty magical.",It was amazing.
"00:14:59,000 --> 00:15:41,000",And then it's since been a tourist attraction.,Wow.
"00:15:39,000 --> 00:15:43,000",Wow.,Hobbitin.
