timestamp_range,cause_text,emotion_text
"00:02:14,079 --> 00:02:30,080","Well, luckily I saved the best for last. Since Amy's a neuroscientist, I did some research and found out that Santiago Ramón y Cajal, the father of modern neuroscience, did lots of hand drawings of brain cells.",And I managed to find this signed print.
"00:02:25,080 --> 00:02:32,080",And I managed to find this signed print.,Wow.
"00:02:25,080 --> 00:02:35,080",And I managed to find this signed print.,"Oh, this is truly remarkable."
"00:03:42,080 --> 00:03:50,080",We're having a texting date.,I love that.
"00:04:39,079 --> 00:04:47,079",Are you saying that you want me to be Professor Proton?,"Oh, my! What an honor."
"00:09:05,080 --> 00:09:13,080",And there's my phone number.,This is the most beautiful gift you could have ever given me.
"00:09:05,080 --> 00:09:13,080",And there's my phone number.,This is the most beautiful gift you could have ever given me.
"00:11:30,080 --> 00:11:34,080",Professor Proton said I should call him Arthur. That means we're friends.,Professor Proton said I should call him Arthur. That means we're friends.
"00:18:25,079 --> 00:18:34,079","Yes, and I have a surprise for you.","Well hello, Prince Charming."
"00:18:25,079 --> 00:18:34,079","Yes, and I have a surprise for you.","Well hello, Prince Charming."
"00:22:43,079 --> 00:22:47,079",I love you.,I love you too.
"00:22:36,079 --> 00:22:44,079","All right, it's just a heart shape lock with a picture of Leonard's face and he got them all on clearance.",I love you.
"00:25:12,079 --> 00:25:19,079",No even better than money you gained experience points.,More potion please.
"00:26:36,079 --> 00:26:42,079",You and your colleagues are doing remarkable research and you deserve the money.,Oh.
"00:27:01,079 --> 00:27:06,079",Oh don't say that. You're a very attractive woman.,Oh please.
"00:27:05,079 --> 00:27:07,079",No it's true.,Well aren't you sweet.
"00:27:46,079 --> 00:27:48,079",So many.,Oh.
"00:27:01,079 --> 00:27:07,079",Oh don't say that. You're a very attractive woman.,Well aren't you sweet.
"00:29:54,079 --> 00:30:14,079",I know things haven't been perfect with us and we've had our problems but I just have to tell you from the moment I read.,Yes I will marry you.
"00:30:12,079 --> 00:30:15,079",Yes I will marry you.,You will? You will?
"00:30:14,079 --> 00:30:16,079",You will? You will?,I will.
"00:30:15,079 --> 00:30:19,079",I will.,I will.
"00:30:18,079 --> 00:30:20,079",I will.,I love you so much.
"00:30:19,079 --> 00:30:25,079",I love you so much.,I'm so excited.
"00:30:21,079 --> 00:30:25,079",Congratulations.,I'm so excited.
"00:33:39,079 --> 00:33:47,079",Transitional quadrilateral to triangular testellation.,That's brilliant.
"00:34:51,079 --> 00:34:57,079",Tell Bernadette to tell Priya that I'm on my way to Prague,to shoot a movie with Angelina Jolie.
"00:35:48,079 --> 00:36:28,079",I'm not going to help you. This is hilarious.,Hi.
"00:38:36,079 --> 00:38:59,079",Bernadette and I are getting married.,"Oh my gosh, Ma."
"00:38:36,079 --> 00:38:59,079",Bernadette and I are getting married.,"Oh my gosh, Ma."
"00:44:57,079 --> 00:45:13,079","Oh, wow, good job.",I think you'll be surprised.
"00:46:13,079 --> 00:46:36,079","Using Photoshop, I've introduced a few anachronisms.",Bazinga!
"00:48:52,079 --> 00:48:57,079",Surprise.,"Man, what an unexpected pleasure."
"00:48:52,079 --> 00:48:57,079",Surprise.,"Man, what an unexpected pleasure."
"00:50:34,079 --> 00:50:37,079","Joy, this is Leonard, Leonard, this is Joy.",Hi.
"00:50:55,079 --> 00:51:07,079","Yeah, it's really Krav Magal, lots of fun.",Whoa!
"00:51:06,079 --> 00:51:30,079",Whoa!,"Yep, it is."
"00:51:20,079 --> 00:51:31,079","Should be, it's $30 a pound.",73!
"00:52:18,079 --> 00:52:26,079","Okay, well, I guess we're having a slumber party.",Pillow fight!
"00:52:46,079 --> 00:52:55,079","and Amy Farah Fowler, here and after known as the girlfriend.",It's so romantic.
"00:51:46,079 --> 00:51:50,079","That's okay, you can just sleep here.","Oh, good, a slumber party."
"00:52:18,079 --> 00:52:26,079","Okay, well, I guess we're having a slumber party.",Pillow fight!
"00:53:58,079 --> 00:54:04,079",These things happen. They happen to everybody.,"Oh my God, you are amazing."
"00:54:49,079 --> 00:54:55,079",It's me.,"Yes, it is, and you're so pretty in the morning."
"00:53:58,079 --> 00:54:04,079",These things happen. They happen to everybody.,"Oh my God, you are amazing."
"00:57:53,079 --> 00:58:15,079","Yeah, my ringtone, kind of my favorite song, Rocket Man.",I am... I'm lovable.
