timestamp_range,cause_text,emotion_text
"00:01:01,199 --> 00:01:08,200",Have you heard of the new Russian movie streaming service?,Nyetflix.
"00:02:17,199 --> 00:02:23,199","So technically, Mary had a little Lamb.",That was really good.
"00:03:19,199 --> 00:03:33,199","I love an accent, I love it.","Oh, cute."
"00:03:31,199 --> 00:03:35,199","Oh, cute.",Is that real?
"00:04:15,199 --> 00:04:19,199",The sound they make when you're nailing him.,"Oh, my God."
"00:04:49,199 --> 00:04:59,199",He is deletus.,That's good.
"00:04:57,199 --> 00:05:01,199",That's good.,I like that.
"00:06:03,199 --> 00:06:17,199",Because he always punches people in the faith.,I like you.
"00:04:55,199 --> 00:04:59,199",Beedeth deletus.,That's good.
"00:04:57,199 --> 00:05:01,199",That's good.,I like that.
"00:05:01,199 --> 00:05:05,199",Beedeth deletus.,I like this one.
"00:07:11,199 --> 00:07:15,199",What?,A fruit roll up.
"00:07:13,199 --> 00:07:19,199",A fruit roll up.,Oh my god.
"00:07:17,199 --> 00:07:21,199",Oh my god.,Oh my god.
"00:08:07,199 --> 00:08:33,200",It's right up my alley.,You laugh.
"00:09:11,200 --> 00:09:17,200",I know.,Yeah.
"00:09:21,200 --> 00:09:27,200",To beat the crowd?,Yeah.
"00:09:51,200 --> 00:09:57,200",A car key doesn't turn pad on.,That was good.
"00:10:11,200 --> 00:10:17,200",Covid-9-11.,Oh my god.
"00:11:27,200 --> 00:11:31,200",That was a good joke.,I love.
"00:11:27,200 --> 00:11:31,200",That was a good joke.,I love.
"00:13:42,200 --> 00:13:46,200",That's funny. That's good.,Do do do do do do do do do.
"00:13:39,200 --> 00:13:44,200",They were polyphonic.,That's funny. That's good.
"00:14:32,200 --> 00:14:42,200",What did the cops say when they shot a ginger person? What?,I guess orange is the new black.
"00:14:40,200 --> 00:14:51,200",I guess orange is the new black.,That's great. That's good.
"00:14:33,200 --> 00:14:35,200",What happens when the Pope goes to the toilet?,Holy shit!
