timestamp_range,cause_text,emotion_text
"00:00:32,000 --> 00:00:34,000","It's good to see you, man.",Likewise.
"00:01:16,000 --> 00:01:18,000",I changed.,Whoa!
"00:02:46,000 --> 00:02:50,000",so you can keep up with the movies and TV shows that you enjoy.,That's amazing.
"00:04:55,000 --> 00:05:03,000","Because every time they get a corner, they open a restaurant.","You know, like..."
"00:07:01,000 --> 00:07:06,000",What do you call a Chinese guy with a camera?,Filming!
"00:07:05,000 --> 00:07:07,000",Filming!,Oh!
"00:08:00,000 --> 00:08:04,000","And I thought to myself,","Huh, that's a good deal."
"00:08:35,000 --> 00:08:38,000",I thought she was joking.,Yeah.
"00:08:38,000 --> 00:08:43,000",But then I saw her face.,And I'm a believer.
"00:09:07,000 --> 00:09:15,000","Ellen, would you believe the doctor told me I had to stop masturbating?","And he said, because I'm trying to examine you."
"00:11:25,000 --> 00:11:37,000",Why are chickens so funny?,Nice.
"00:11:57,000 --> 00:12:01,000",Are you a pothole?,"That was great, I think."
"00:12:13,000 --> 00:12:33,000","That's funny, Steve.",That's a good idea.
"00:13:39,000 --> 00:13:43,000","Yeah, I could tell.",Because they're good.
"00:13:41,000 --> 00:13:53,000",Because they're good.,"The sex is the same, but the dishes start to pile up."
"00:15:52,000 --> 00:15:58,000",That's so much.,That's so good.
"00:18:13,000 --> 00:18:21,000",Quiet horse.,That's great.
"00:18:14,000 --> 00:18:21,000",Quiet horse who?,That's great.
"00:20:30,000 --> 00:20:44,000","For anyone who missed that, I'll just broke the chair by being fat.","Oh, my God."
"00:22:50,000 --> 00:23:02,000",Talk about transistor radio.,"Wow, you really have a knack of playing with words amazing."
"00:24:19,000 --> 00:24:24,000",You were in the video.,Diffin' Abby. Are you serious?
"00:25:39,000 --> 00:25:43,000",He's where I write myself.,Yeah!
"00:25:51,000 --> 00:26:04,000",What did the Terminator say at the grocery store,Oh!
"00:25:51,000 --> 00:26:06,000",What did the Terminator say at the grocery store,Oh!
"00:25:51,000 --> 00:26:08,000",What did the Terminator say at the grocery store,Oh!
"00:28:31,000 --> 00:29:05,000",Because he's smashing balls.,Oh my god.
"00:27:51,000 --> 00:29:05,000",He's so funny.,Oh my god.
