timestamp_range,cause_text,emotion_text
"00:00:22,519 --> 00:00:24,199",You made it!,That's awesome!
"00:00:22,519 --> 00:00:25,199",You finally made it.,That's awesome!
"00:00:46,200 --> 00:00:52,200","Yeah, glad to finally be here.",I'm so excited to be here too.
"00:02:24,199 --> 00:02:36,199",Why is parking a car like finding a girlfriend?,So you just stick it in the disabled one and hope no one finds out. Ah!
"00:02:24,199 --> 00:02:36,199",Why is parking a car like finding a girlfriend?,Ah!
"00:03:45,199 --> 00:03:53,199",What do you call a guy with no arms? And no legs and sits at your front door?,Matt.
"00:04:31,199 --> 00:04:41,199",How do you get Pikachu on a bus?,I'm a smiling.
"00:04:33,199 --> 00:04:41,199",You poke him on.,I'm a smiling.
"00:07:24,199 --> 00:07:31,599",You're gonna laugh.,I think it's a laugh that is making me laugh.
"00:07:31,599 --> 00:07:36,599",Got him.,That's a cool one.
"00:09:24,600 --> 00:09:28,600",What do you get when you cross Timmy and a disco ball?,A shimmy.
"00:10:53,600 --> 00:11:03,600",They both love Kinder.,Love that.
"00:11:49,600 --> 00:11:59,600",It wasn't an elevator.,Nice.
"00:13:25,600 --> 00:13:35,600",What is her son Mavin Laden's favorite drink?,"Oh, that's right."
"00:14:29,600 --> 00:14:33,600","You're lovely, Jimmy.","Oh my god, Jimmy."
"00:15:35,600 --> 00:16:09,600",Special forces.,"Okay, well I laughed at the start."
"00:16:27,600 --> 00:16:31,600","Hey, I'm Rory Lowe and I'm a comedian.",Oh my god.
