timestamp_range,cause_text,emotion_text
"00:00:24,000 --> 00:00:27,000",Oh!,He was there!
"00:03:13,000 --> 00:03:16,000","You look like two shops in here, my god.",It's so funny.
"00:03:13,000 --> 00:03:16,000","You look like two shops in here, my god.",It's so funny.
"00:03:30,000 --> 00:03:38,000","I think they got confused when I said, I want to watch.",That's pretty good.
"00:03:37,000 --> 00:03:39,000",That's pretty good.,It's really good.
"00:03:38,000 --> 00:03:40,000",It's really good.,I love it.
"00:04:22,000 --> 00:04:31,000",Pick a asshole.,That's good. That's a good one.
"00:04:31,000 --> 00:04:35,000",What happened?,"Oh, it's funny."
"00:04:21,000 --> 00:04:31,000",Pick a asshole.,That's good. That's a good one.
"00:04:28,000 --> 00:04:35,000",That's good. That's a good one.,"Oh, it's funny."
"00:06:02,000 --> 00:06:07,000",Never been laid on.,That's pretty good.
"00:07:17,039 --> 00:07:20,039",Boo-bees.,That's funny.
"00:07:11,039 --> 00:07:20,039",Boo-bees.,That's funny.
"00:07:48,040 --> 00:07:54,040",A wet nose.,That's pretty funny.
"00:07:50,040 --> 00:07:57,040",That's pretty funny.,That's great.
"00:07:54,040 --> 00:07:58,040",That's great.,This is so much fun.
"00:07:57,040 --> 00:07:59,040",This is so much fun.,"Yeah, I really enjoy this."
"00:07:48,040 --> 00:07:57,040",A wet nose.,That's great.
"00:10:24,679 --> 00:10:32,759",Because Mad Cow Disease was already taken.,"Oh, my God."
"00:10:36,759 --> 00:10:41,599","Because once he put in, he doesn't pull out.",Topical.
"00:10:49,120 --> 00:10:52,759",Kick his sister in the jaw.,"Oh, my God."
"00:11:00,599 --> 00:11:08,919","He was saying, selling snow white.",Not bad.
"00:11:00,599 --> 00:11:10,279","He was saying, selling snow white.",I really like that one.
"00:11:29,199 --> 00:11:34,199","So I replied, boobs.","My pun client was funny, huh?"
"00:11:29,199 --> 00:11:34,199","So I replied, boobs.","My pun client was funny, huh?"
"00:11:50,079 --> 00:11:53,799",The wheelchair.,"Yeah, nice. All right, look at that one out."
"00:12:15,599 --> 00:12:36,799",South.,I did laugh.
"00:12:35,799 --> 00:12:37,799",I did laugh.,I'm not a pervert.
"00:13:32,279 --> 00:14:05,279",He's the only one without a boughner.,I love you together.
"00:14:21,279 --> 00:14:24,279",I love you together.,Cheers.
"00:16:03,279 --> 00:16:05,279",It's invisible.,"Yeah, this is great."
"00:16:03,279 --> 00:16:04,279",It's invisible.,"Yeah, this is great."
"00:16:12,279 --> 00:16:18,279",Two bees in a bottle.,That's funny.
"00:16:36,279 --> 00:16:44,279",What do you call a woman herfuses to give head?,Hahaha.
"00:17:04,279 --> 00:17:13,759","I'm the only brown comedian on this fucking show, okay?","Oh my god, I'm so good."
"00:16:40,279 --> 00:16:44,279",An oba.,Hahaha.
