timestamp_range,cause_text,emotion_text
"00:00:25,000 --> 00:00:57,500",We've got something very special for you.,Let's go!
"00:02:41,500 --> 00:02:46,500",I've actually booked a helicopter ride through the Grand Canyon.,"Yeah, yeah."
"00:03:52,500 --> 00:03:56,500",Peyton's been talking about how she's brought all these jokes today.,I'm very excited to hear these.
"00:03:48,500 --> 00:03:54,500",Peyton's been talking about how she's brought all these jokes today.,So I'm very excited to hear these.
"00:04:46,500 --> 00:04:50,500",You're a good girl.,Yeah.
"00:07:12,500 --> 00:07:16,500",Timmy got Matt debut.,Wow.
"00:08:22,500 --> 00:08:28,500",It was great.,It was awesome.
"00:08:52,500 --> 00:08:56,500",I did that.,That's a great thing.
"00:11:33,299 --> 00:11:45,100","In Australia, we just call them Indians.","Oh, my gosh."
"00:11:48,100 --> 00:11:51,100","Oh, he got me staring down.",That was a great joke.
"00:12:06,299 --> 00:12:08,299","Good one, Ian.",I like that one.
"00:12:25,099 --> 00:12:30,099","Ah, I like it.",I love Americans.
"00:13:39,299 --> 00:13:42,299","That was a great, great.",I'm so good.
"00:13:54,299 --> 00:14:01,299",An ukulele.,That's so good.
"00:13:50,299 --> 00:14:01,299","OK, what do you call an atomic bomb in Hawaii?",That's so good.
"00:14:24,299 --> 00:14:34,299",I haven't seen that much wasted muscle since I looked at Michael J. Fox.,Oh!
"00:14:50,299 --> 00:14:58,299",Because he only got 50% of the chip.,"Hey, you know what I love?"
"00:14:37,299 --> 00:14:40,299",They're so cute.,I love foxes.
"00:17:14,299 --> 00:17:28,299",They're pussy knocked me out.,Get it!
"00:17:14,299 --> 00:17:28,299",They're pussy knocked me out.,Get it!
"00:18:10,299 --> 00:18:16,299",Because they have a history of separating colors.,"Oh, yeah."
"00:19:00,299 --> 00:19:04,299",I've never watched a funny game of hungry hippos.,"Oh, my God."
"00:20:41,299 --> 00:20:55,299","Uh, George Washington, that probably had wooden teeth, which made it really hard when he ate the beaver.","Dude, that was fine."
