timestamp_range,cause_text,emotion_text
"00:01:34,480 --> 00:01:38,480",See this paper rock?,Yes!
"00:01:39,480 --> 00:01:41,480",Yes!,"Cookie, it was a cookie."
"00:01:34,480 --> 00:01:38,480",See this paper rock?,Yes!
"00:01:34,480 --> 00:01:40,480",See this paper rock?,Yes!
"00:02:13,480 --> 00:02:22,480",A nectarine!,What is a vampire's favorite part of sex?
"00:02:13,480 --> 00:02:44,479",A nectarine!,You're funny.
"00:04:31,480 --> 00:04:39,480",What do you call an Asian chihuahua?,A kunichiwawa.
"00:06:41,480 --> 00:06:51,480","Why did the vampire leave his job at the blood bank, and get a new job at the sperm bank?",Because he was tired of sucking next.
"00:06:51,480 --> 00:06:55,480",He wanted to suck some fucking shit out.,That was so bad.
"00:08:28,480 --> 00:08:33,480","But I didn't have any brown paint, so I used a piece of shit.",[Laughter]
"00:09:11,480 --> 00:09:17,480",It's becoming a sergeant pants.,That's good.
"00:09:37,480 --> 00:09:49,480",What do you call it when a criminal stops an Asian from shitting?,"Yeah, that's really good."
"00:12:27,480 --> 00:12:51,480",Because everyone looks like their sister.,Oh my god.
"00:13:19,480 --> 00:13:33,480","So she goes to Um zip his pants and she goes, is it really true what they say about Asian men?",Oh my god.
"00:13:49,480 --> 00:13:55,480",I tried that at the laugh in zero laughs.,I like it.
"00:14:01,480 --> 00:14:15,480",What happens when a gay person gets tired during the Maddie Grah parade? They have to drink a gay to raid at the gay parade.,You know what?
"00:14:13,480 --> 00:14:17,480",You know what?,I like it.
"00:15:25,480 --> 00:15:31,480",Because he's dead.,That's funny.
"00:15:25,480 --> 00:15:31,480",Because he's dead.,That's funny.
