timestamp_range,cause_text,emotion_text
"00:01:27,599 --> 00:01:33,599","OK, well, cheers to my funny joke.",Um...
"00:01:35,599 --> 00:01:42,599",...saying he could disappear by counting to three.,Poo!
"00:03:50,599 --> 00:03:57,599",So why wouldn't they let the dog in the UFC?,Because his bark was worse than his bite.
"00:03:50,599 --> 00:04:04,599",So why wouldn't they let the dog in the UFC? Because his bark was worse than his bite.,"Everyone's like, I didn't kill it."
"00:06:46,600 --> 00:06:55,600",Have you seen the movie about a little fish with cancer?,I had that so bad!
"00:07:47,600 --> 00:08:14,600",That was great.,That was so great!
"00:08:13,600 --> 00:08:17,600",That was so great!,I was so surprised.
"00:08:13,600 --> 00:08:17,600",That was so great!,I was so surprised.
"00:11:21,600 --> 00:11:26,600","I'm sorry, but that was fun.",Holy shit!
"00:11:37,600 --> 00:11:47,600",What type of bus crossed the ocean?,"That's... that's it. That's still the bus, boss."
"00:14:20,600 --> 00:14:27,600",You're just winning.,I can't.
"00:14:41,600 --> 00:15:00,600",Clam media.,Um...
"00:16:21,600 --> 00:16:27,600","And then he comes on and gives the worst, best performance ever.",Oh my god.
"00:19:52,599 --> 00:19:58,599","Hey, welcome.",Go Payton!
