timestamp_range,cause_text,emotion_text
"00:01:00,320 --> 00:01:04,319",A zebra.,That's super close.
"00:03:50,319 --> 00:03:59,319","As she died, she kept telling us to be positive.",Oh my god.
"00:03:50,319 --> 00:03:59,319","As she died, she kept telling us to be positive.",Oh my god.
"00:05:44,319 --> 00:06:02,319",And Henry has two big pairs of hairy balls.,It was the two pairs for me.
"00:06:22,319 --> 00:06:27,319","Now, did you hear Princess Diana was on the radio the other day?","Oh, nice."
"00:06:27,319 --> 00:06:40,319",And the dashboard and the windscreen.,That was good.
"00:06:44,319 --> 00:07:02,319",A redneck walked into a protest and immediately got called a racist.,That was good.
"00:06:22,319 --> 00:06:27,319","Now, did you hear Princess Diana was on the radio the other day?","Oh, nice."
"00:09:54,320 --> 00:09:59,320",That was a good one.,I ran that one.
"00:09:54,320 --> 00:09:59,320",That was a good one.,I ran that one.
"00:11:29,320 --> 00:13:06,320",This is the best episode ever.,"I was like, wow."
"00:13:06,320 --> 00:13:14,320","And a friend said, hey, that's actually her number.",29.
"00:13:10,320 --> 00:13:15,320","Yes, what do you call a Mexican baptism?",A baptism.
"00:14:54,320 --> 00:14:56,320",We did it!,We did it!
"00:14:37,320 --> 00:14:40,320",We're all bitch.,Woo!
