timestamp_range,cause_text,emotion_text
"00:00:25,000 --> 00:00:28,000",I am good.,You're good? I'm great.
"00:02:12,000 --> 00:02:17,439",I see it was jacking him.,"Yeah, sick."
"00:02:15,439 --> 00:02:19,439","Yeah, sick.",That's good.
"00:02:18,439 --> 00:02:20,439",That's good.,I like it.
"00:02:19,439 --> 00:02:21,439",I like it.,"Yeah, that's good."
"00:02:20,439 --> 00:02:22,439","Yeah, that's good.",That's pretty funny.
"00:04:28,120 --> 00:04:31,120",Because he used the hot R.,Nice.
"00:04:28,120 --> 00:04:31,120",Because he used the hot R.,Nice.
"00:06:16,159 --> 00:06:24,120",What just snakes call it when they do 69 what 11?,That's pretty good. That's pretty good
"00:06:16,159 --> 00:06:24,120",What just snakes call it when they do 69 what 11?,That's pretty good. That's pretty good
"00:06:28,399 --> 00:06:36,239",Why don't they teach drivers ed and sex education on the same day in the Middle East?,Why? Because it wears out the camel
"00:07:53,160 --> 00:08:00,280",What do you call a bug that lets you fuck its wife a,Cockaroch
"00:07:58,280 --> 00:08:04,879",Cockaroch,That's good that's good
"00:08:18,639 --> 00:08:42,440",What do you call a party with a hundred dwarves? What a little get together,"I like it. I heard about a tattoo place that was giving out free tattoos to women who would flash their boobs. Is that why you have all your tattoos? Yeah, it was that tattoo for tattoo special"
"00:09:31,440 --> 00:09:41,440",What's the difference between white owls and black owls?,"White owls go, whoo-toot! And black owls go, what up dog?"
"00:09:39,440 --> 00:09:49,440",what up dog?,"That can be a man really, that's good."
"00:09:31,440 --> 00:09:49,440",What's the difference between white owls and black owls?,"That can be a man really, that's good."
"00:11:21,440 --> 00:11:27,440",What?,That's really funny.
"00:11:41,440 --> 00:11:55,440",That was great.,Oh my god.
"00:14:25,440 --> 00:14:29,440",I'm Andy.,Welcome to my screen call.
"00:14:27,440 --> 00:14:31,440",Welcome to my screen call.,Fantastic.
