timestamp_range,cause_text,emotion_text
"00:01:23,799 --> 00:01:28,760",Because parrots eat a ball.,Ha ha!
"00:02:23,319 --> 00:02:30,319","No, I did it! I did it!",She is to your face.
"00:02:23,319 --> 00:02:50,319","No, I did it! I did it!",Cool.
"00:03:58,319 --> 00:04:03,319","Me, apparently.",That is so funny.
"00:03:58,319 --> 00:04:03,319","Me, apparently.",That is so funny.
"00:04:37,319 --> 00:04:44,319",To get to the idiot's house.,Who's there?
"00:04:43,319 --> 00:04:50,319",Who's there?,You're an idiot.
"00:05:00,319 --> 00:05:02,319",This is so bad.,I loved it.
"00:05:00,319 --> 00:05:02,319",This is so bad.,I loved it.
"00:05:41,319 --> 00:05:43,319",That was great.,Thank you.
"00:06:29,319 --> 00:06:34,319",I said the same thing.,That was so funny.
"00:06:53,319 --> 00:06:59,319","Yeah, we both laughed.",Everyone had a great time.
"00:06:56,319 --> 00:06:59,319",And there was a Joyce occasion.,Everyone had a great time.
"00:09:24,320 --> 00:09:28,320",We did it.,We did it.
"00:12:37,320 --> 00:12:43,320",This is great content guys.,We're going great.
"00:14:55,320 --> 00:15:08,320",That socked.,That's way better.
"00:15:06,320 --> 00:15:10,320","That was good, Matt. That was great.","Thank you, Seth. I love you."
"00:17:34,319 --> 00:17:40,319",God bless America.,Awesome.
"00:17:33,319 --> 00:17:40,319",God bless America.,Awesome.
