timestamp_range,cause_text,emotion_text
"00:00:34,679 --> 00:00:40,000",And you carried that whole movie.,"Oh, fantastic."
"00:01:59,439 --> 00:02:04,280",is convincing people to come do movies with me,that they don't know if they should do or not.
"00:03:35,359 --> 00:03:46,319",I was back there freaking out. You're like the first person who said it perfectly.,Amazing. 15 years and then you came along.
"00:03:35,359 --> 00:03:46,319",I was back there freaking out. You're like the first person who said it perfectly.,Amazing. 15 years and then you came along.
"00:05:18,280 --> 00:05:23,160","Now, we're delighted you're here for all sorts of reasons.",I'm so happy to be here. I'm a huge fan.
"00:05:10,279 --> 00:05:14,920",They are just another thing you don't have in common with the Queen.,LAUGHTER
"00:05:18,280 --> 00:05:23,160","Now, we're delighted you're here for all sorts of reasons.",I'm so happy to be here. I'm a huge fan.
"00:05:41,160 --> 00:06:16,360",You look divine.,"Yes, good one."
"00:06:25,560 --> 00:06:39,560",Amazing.,I like borrowing them a lot.
"00:07:15,159 --> 00:07:18,159",You must have enjoyed all of that.,"Oh, we loved it."
"00:07:29,159 --> 00:07:33,159",I thought you were in a Ferrera Roshe.,It's...
"00:07:32,159 --> 00:07:35,159",It's...,It's extraordinary.
"00:09:12,960 --> 00:09:16,960",This is a vile story.,LAUGHTER
"00:09:51,560 --> 00:09:55,560",And the thing in the dressing room was a Pringles box.,LAUGHTER
"00:10:18,159 --> 00:10:25,159","I managed to turn it halfway down, create a catchment turn, you know.",LAUGHTER
"00:10:25,159 --> 00:10:29,159","Of course, if you're not opening your mum's a cleaner,",somebody's got to clean up after you.
"00:10:27,159 --> 00:10:36,159",somebody's got to clean up after you.,LAUGHTER
"00:10:38,159 --> 00:10:46,159","When I was hunched over the Pringles pack, I was actually thinking,",LAUGHTER
"00:10:52,159 --> 00:10:58,159",This would be the best dragon's den ever.,LAUGHTER
"00:11:18,159 --> 00:11:24,159","I wasn't proud, but the best it was, it fitted me pocket.",LAUGHTER
"00:11:28,159 --> 00:11:35,159",I got a slug sized Pringle pack full of poo.,LAUGHTER
"00:11:35,159 --> 00:11:40,159",We had three judges in from the Pettier.,LAUGHTER
"00:11:40,159 --> 00:11:46,159","Just going, what is the right time to go?",LAUGHTER
"00:11:46,159 --> 00:11:58,159","I'm doing it, get me that.",LAUGHTER
