timestamp_range,cause_text,emotion_text
"00:00:15,480 --> 00:00:35,359","you know, the guys, the Argentinian guys were going,",LAUGHTER
"00:01:07,040 --> 00:01:11,840","I will be on you like, shit on Velcro.",LAUGHTER
"00:01:18,439 --> 00:01:22,040",This is the lady.,LAUGHTER
"00:01:34,640 --> 00:01:36,640","Jane, you're not a gay black basketball player.",LAUGHTER
"00:01:41,239 --> 00:01:45,240",But it's Sally.,LAUGHTER
"00:01:46,840 --> 00:01:50,439",Sally suffers from paperclip kits.,Oh!
"00:01:53,439 --> 00:01:59,439",With your funny little terrier ears.,"Oh, and for some reason you've drawn a penis on your own face."
"00:02:47,439 --> 00:02:53,439",There's Stephanie Jack in the flesh and here she's in the cartoon.,LAUGHTER
"00:03:24,439 --> 00:03:27,439","Yes, you can.",It's been on the road for a while.
"00:04:56,439 --> 00:05:01,439","Yeah, we just think you're wicked.",Oh.
"00:04:45,439 --> 00:04:50,439",Amelia Clark loves Matt.,"Love, love, love."
"00:06:16,439 --> 00:06:23,439","No, yes.","Yes, thank you."
"00:14:36,440 --> 00:14:39,440","No, it was a video message on an iPad.",And that made you cry.
"00:15:09,440 --> 00:15:13,440","And today on the radio, Melcy talked to me over Skype.","Oh, wow!"
"00:15:09,440 --> 00:15:13,440","And today on the radio, Melcy talked to me over Skype.","Oh, wow!"
"00:16:27,440 --> 00:16:29,440","So, they're not here.",Oh!
"00:16:17,440 --> 00:16:29,440",For any reason at all.,Oh!
