timestamp_range,cause_text,emotion_text
"00:00:25,480 --> 00:01:15,039","I just thank God, I made my,",Thank God for these commercials.
"00:01:46,760 --> 00:01:52,480","But if you're in a bar and a guy goes, so where you from?",LAUGHTER
"00:02:06,480 --> 00:02:12,480",I was back there freaking out. You're like the first person who said it perfectly.,Really?
"00:02:43,479 --> 00:02:51,479","and was invited, I guess, to sit next to the queen on the boat, going down the...","Oh, you're joking, that's amazing."
"00:02:43,479 --> 00:02:51,479","and was invited, I guess, to sit next to the queen","Oh, you're joking, that's amazing."
"00:03:48,479 --> 00:03:53,479",Now we're delighted you're here for all sorts of reasons.,I'm so happy to be here. I'm a huge fan.
"00:04:40,480 --> 00:04:43,480",Bum.,LAUGHTER
"00:05:16,480 --> 00:05:21,480",Oh...,LAUGHTER
"00:06:03,480 --> 00:06:07,480","You were nominated for Teacher of the Year, weren't you?","Yes, I was great."
"00:06:29,480 --> 00:06:34,480",You've been nominated.,"And I went, oh, OK."
"00:07:15,480 --> 00:07:19,480",It's a match made in heaven.,"Oh, my God."
"00:11:05,480 --> 00:11:08,480",The people are into the Jackie Chan and her.,Oh!
"00:11:31,480 --> 00:11:35,480","Of course, I'm so happy just standing here,","more than like a three-minute, five-minute,"
"00:11:50,480 --> 00:11:54,480",They got whisked off on a little...,"Oh, that's good."
"00:12:11,480 --> 00:12:14,480",Yes.,"Oh, it's all good now."
"00:12:41,480 --> 00:12:45,480","Yes, I would get in the car with him.",Good.
"00:12:37,480 --> 00:12:45,480",But now my husband is officially allowed to drive.,Good.
"00:14:18,480 --> 00:14:20,480",How are you?,Wonderful to see you.
"00:15:45,480 --> 00:15:49,480",That's what he is.,"Oh, my god."
"00:15:47,480 --> 00:15:54,480","I'm a gin now, Sir Patrick Stewart, and you don't really use the Sir much, do you?","Oh, my god."
"00:17:58,480 --> 00:18:03,480","into the restaurant, walks Sir Paul McCartney.",Wow.
"00:18:56,480 --> 00:19:01,480","And he said, Jane says that you like Aston Martin's here.",Drive this.
"00:19:00,480 --> 00:19:02,480",Drive this.,Wow.
"00:19:14,480 --> 00:19:20,480",We're now in the Tower Bar.,"Oh, my God!"
