timestamp_range,cause_text,emotion_text
"00:00:31,940 --> 00:00:35,179","Oh, good.",I'm back up to eight.
"00:01:07,900 --> 00:01:11,900","Fine, I'll publish.",This is fun.
"00:02:21,900 --> 00:02:25,379",Isn't that Professor Proton?,"Oh, yeah."
"00:02:24,180 --> 00:02:26,579","Oh, yeah.",Oh.
"00:02:25,379 --> 00:02:29,340",Oh.,Oh.
"00:05:59,980 --> 00:06:03,900",This is fun.,"Playing with popsicle sticks, exploring ways"
"00:05:59,980 --> 00:06:03,900",This is fun.,"Playing with popsicle sticks, exploring ways"
"00:07:14,220 --> 00:07:18,300","You were a terrible waitress, and we still",ask you to get us a snack.
"00:07:39,739 --> 00:07:45,939","Your mommy and daddy say they trust me, but they're full of the same stuff your diaper is.",LAUGHTER
"00:08:22,420 --> 00:08:26,420",She called me Mama.,What's going on?
"00:08:35,420 --> 00:08:41,420",in which case I think I'm cool with it?,LAUGHTER
"00:08:22,420 --> 00:08:26,420",She called me Mama.,What's going on?
"00:10:37,419 --> 00:10:44,419",I thought you did it just to get girls.,"Jokes on you, it worked."
"00:10:40,419 --> 00:11:05,419","Jokes on you, it worked.",LAUGHTER
"00:12:35,419 --> 00:12:38,419","But it was kind of fun, wasn't it?",It was. Do it again.
"00:12:45,419 --> 00:12:58,419","Oh, it's awesome.",It's okay. I was best man for two whole days.
"00:12:35,419 --> 00:12:39,419","But it was kind of fun, wasn't it?",Gladly.
"00:12:40,419 --> 00:12:46,419","Oh, yeah, now the same time.","Oh, it's awesome."
"00:13:11,419 --> 00:13:17,419",I suppose you could be the flower girl.,Sold.
"00:15:57,419 --> 00:16:35,419",And now he's not.,"No, you're being perfect and you know it."
"00:16:32,419 --> 00:16:45,419","No, you're being perfect and you know it.",No. Yes. Stop messing with me.
"00:18:16,420 --> 00:18:21,420",What? It turns out we're both petty.,I love you so much.
"00:19:17,420 --> 00:19:28,420","and then I make hot, motionless love to you.",Don't move. It's go time.
"00:25:47,420 --> 00:25:58,420",I give you...,Wow.
"00:25:49,420 --> 00:26:00,420",Dr. Amy Farah Fowler.,"Amy, you look amazing."
"00:27:43,420 --> 00:27:45,420",They wanted me.,"I'm smart, I'm nice."
"00:28:53,420 --> 00:28:58,420","Oh, and pretty.",What is that?
"00:29:29,420 --> 00:29:32,420",You're having a bad dream.,"Oh, thank God."
"00:30:19,420 --> 00:30:43,420",I can't believe I am about to say this.,I get to write a contract.
"00:32:55,420 --> 00:33:02,420","The image we gave it was 45% white noise, and it's still managed to reconstruct it.",I've never seen results like this before.
"00:33:46,420 --> 00:33:57,420","Wow, I can actually feel the egg crawling its way back up.","For the next 36 hours, you're as fertile as a manure-covered wheat field."
"00:36:54,420 --> 00:37:01,420",you and I can give it a go.,"I appreciate your offer, but if things don't work out with you too, I'm swooping in on her like a vulture."
"00:38:07,420 --> 00:38:13,420","Please, when you see the ring I pick out, you're gonna melt.","Wait, is it Rose Gold? Actually, don't tell me I want to be surprised."
"00:38:51,420 --> 00:39:03,420","Start, check the original series. The Enterprise was on a five-year mission to explore new worlds.","If you want to luring me in with sexy talk, that's how you do it."
"00:41:06,420 --> 00:41:16,420","Hey, so we've been talking and if you need a place to stay, we'd be happy to fix up the garage for you.",That would be amazing!
"00:41:43,420 --> 00:41:49,420","You know, we have the extra bedroom and if you needed it's doors.","Oh my god, that's so generous!"
"00:41:43,420 --> 00:41:49,420","You know, we have the extra bedroom and if you needed it's doors.","Oh my god, that's so generous!"
"00:43:16,420 --> 00:43:21,420",Maybe Sherlock around the clock.,"Great, yeah, let's give it a try."
"00:47:12,420 --> 00:47:27,420","Made of honor, hit woman, whatever you need, make the call.",Bestie!
"00:47:17,420 --> 00:47:27,420","Look, I know this is your wedding and you can do whatever you want, but if you think anyone but me is going to be your maid of honor, then you're an idiot, because you are my best friend.",Bestie!
