timestamp_range,cause_text,emotion_text
"00:01:30,000 --> 00:01:34,000","Alright, I'll see your chicken joke.",Yay!
"00:01:30,000 --> 00:01:34,000","Alright, I'll see your chicken joke.",Yay!
"00:03:03,000 --> 00:03:07,000",I brought my other chocolate blasts too.,So did I.
"00:03:05,000 --> 00:03:11,000",So did I.,This is fun.
"00:04:01,000 --> 00:04:09,000",You refuse too. I refuse to laugh at that.,"Oh, fuck it!"
"00:04:13,000 --> 00:04:17,000",It's not bad.,Woohoo!
"00:04:15,000 --> 00:04:19,000",It's not bad.,Woohoo!
"00:05:43,000 --> 00:05:47,000",Take it up here.,Yeah!
"00:05:45,000 --> 00:05:49,000",Yeah!,Woo!
"00:06:13,000 --> 00:06:17,000",She gave me a wool hand job.,"Oh, my God."
"00:06:25,000 --> 00:06:29,000",It's over for us.,Woo!
"00:08:15,000 --> 00:08:19,000",What?,"I laughed, I laughed."
"00:08:15,000 --> 00:08:19,000",Here you are.,"What? I laughed, I laughed."
"00:09:55,000 --> 00:09:59,000","when I take a shot, she takes a shot.",That's fun.
"00:09:53,000 --> 00:09:57,000","when I take a shot, she takes a shot.",That's fun.
"00:10:51,000 --> 00:10:55,000",I come from the land down under.,I feel like I do those layers better than those trillion people.
"00:12:05,000 --> 00:12:11,000",He's bucking bananas.,They love that.
"00:12:15,000 --> 00:12:19,000",That's good.,He loved it.
"00:12:23,000 --> 00:12:27,000",Drink every time.,I love this.
"00:12:25,000 --> 00:12:29,000",I love this.,I love this.
"00:13:55,000 --> 00:13:59,000",She's a friend of mine.,Yeah!
"00:14:01,000 --> 00:14:05,000",You're on the team.,What did this idol film star have for lunch?
"00:14:06,000 --> 00:14:12,000",Five guys.,There's two different girls!
"00:14:08,000 --> 00:14:14,000",There's two different girls!,Oh!
"00:14:12,000 --> 00:14:16,000",Oh!,Yeah!
"00:14:20,000 --> 00:14:24,000",It won.,Yeah!
"00:14:01,000 --> 00:14:05,000",You're on the team.,What did this idol film star have for lunch?
"00:14:20,000 --> 00:14:24,000",It won.,Yeah!
"00:14:36,000 --> 00:14:44,000",He's on the team.,Yeah!
"00:14:54,000 --> 00:14:58,000",Oh I love you man.,I have a chance at my mom.
"00:14:56,000 --> 00:15:00,000",I have a chance at my mom.,Woo!
"00:14:56,000 --> 00:15:00,000",I have a chance at my mom.,Woo!
"00:15:06,000 --> 00:15:10,000",At least you know the thumb man.,Woo!
