timestamp_range,cause_text,emotion_text
"00:00:17,879 --> 00:00:23,400",That's a really good one.,That's too funny.
"00:00:54,359 --> 00:01:01,359",Because a good flush beat a full house every time.,Oh!
"00:01:53,359 --> 00:01:56,359","A bunch of fucking vegetables, man.",Oh!
"00:01:53,359 --> 00:01:56,359","A bunch of fucking vegetables, man.",Oh!
"00:03:26,360 --> 00:03:30,360",That's a great joke.,That's a great joke.
"00:04:59,360 --> 00:05:05,360",And get 20% off plus free international shipping when you use the promo code Yeah Mad.,Wow!
"00:05:42,360 --> 00:05:49,360",A crib.,Good.
"00:05:57,360 --> 00:06:03,360",Leave a plunger in a toilet.,"Oh, my God."
"00:06:49,360 --> 00:06:54,360",High five.,That's good.
"00:07:45,360 --> 00:07:51,360",Spear parts.,Oh!
"00:07:45,360 --> 00:07:55,360",Spear parts.,Oh!
"00:08:37,360 --> 00:08:42,360",What time does an ISIS member go to bed?,Usually crashes around to 9-11.
"00:09:30,360 --> 00:09:36,360",What do you call a disabled supermodel?,Hot Wheels.
"00:09:35,360 --> 00:09:39,360",Hot Wheels.,Ha-ha-ha.
"00:10:25,360 --> 00:10:37,879",That's a great joke.,I thought it was great. You said fart.
"00:11:16,360 --> 00:11:21,360",He got it.,He got it.
"00:12:38,360 --> 00:12:42,360","Oh, I got one.","Oh, I got one."
"00:15:56,360 --> 00:15:58,360",I did it!,I did it!
"00:15:56,360 --> 00:16:00,360",I did it!,I did it!
