timestamp_range,cause_text,emotion_text
"00:01:22,480 --> 00:01:26,480",Because he had low alpha steam.,Oh!
"00:01:22,480 --> 00:01:26,480",Because he had low alpha steam.,Oh!
"00:02:05,480 --> 00:02:08,480",Because they were missled toly.,Mmm.
"00:03:07,479 --> 00:03:13,479",What do you call an elf wearing earmuffs?,A c*****.
"00:03:22,479 --> 00:03:33,479",What's the difference between a priest and Woody from Toy Story?,Woody goes limp with a child into the room.
"00:03:30,479 --> 00:03:39,479",Woody goes limp with a child into the room.,"Ah, ha, ha, ha."
"00:03:07,479 --> 00:03:13,479",What do you call an elf wearing earmuffs?,A c*****.
"00:03:22,479 --> 00:03:39,479",What's the difference between a priest and Woody from Toy Story?,"Ah, ha, ha, ha."
"00:05:07,480 --> 00:05:13,480",Because it's been good looking good.,Oh my god.
"00:06:40,480 --> 00:06:44,480",Oh my god.,"Yes, that is good."
"00:07:15,480 --> 00:07:27,480",Neil Armstrong walked on the moon and Michael Jackson had sex with children.,I can't look at you.
"00:08:52,480 --> 00:09:02,480",Because two wongs don't make a white.,"Oh, that's so good."
"00:08:02,480 --> 00:08:12,480",Because they have no one to call daddy.,That's a really good joke.
"00:08:52,480 --> 00:09:02,480",Because two wongs don't make a white.,"Oh, that's so good."
"00:13:42,480 --> 00:13:45,480","I eat mop, who?",That's great.
"00:14:18,480 --> 00:14:26,480","I said, I don't even know he played cricket.",That's that one.
"00:14:21,480 --> 00:14:31,480",I heard that one.,That's great.
"00:14:14,480 --> 00:14:21,480","My girlfriend asked me, have you seen the dog bowl?","I said, I don't even know he played cricket."
"00:14:18,480 --> 00:14:31,480","I said, I don't even know he played cricket.",That's great.
"00:15:00,480 --> 00:15:09,480",Why can't Stevie Wonder see his mates?,Till his blind.
"00:16:19,480 --> 00:16:26,480",They're both leaking trans food.,Oh my god.
"00:15:49,480 --> 00:15:55,480",That's great.,I also loved it.
"00:18:51,480 --> 00:19:08,480",Because he only comes once a year.,Wow.
"00:19:24,480 --> 00:19:33,480",So I just came in my pants.,That's really great.
"00:19:57,480 --> 00:20:08,480",Because they're veteran Aryans.,I get a very...
"00:19:24,480 --> 00:19:33,480",So I just came in my pants.,That's really great.
"00:19:52,480 --> 00:20:02,480",Why are retired Nazis so good with animals?,Because they're veteran Aryans.
"00:21:11,480 --> 00:21:21,480",Because she can wash her crack and reuse it.,"I love it, no one's laughing at everyone's clifing."
"00:21:57,480 --> 00:22:09,480",I hate that I love that.,We love you guys.
"00:22:30,480 --> 00:22:36,480",11 or 8.,I won.
