timestamp_range,cause_text,emotion_text
"00:00:07,640 --> 00:00:12,640",I'm glad you brought that up because I do rent my house.,I'm glad you're here.
"00:01:30,599 --> 00:01:33,319",30 million.,Jesus Christ.
"00:04:11,000 --> 00:04:15,000",And I got on one of the other day called Rusty.,"Oh, my God!"
"00:04:22,000 --> 00:04:29,000","Oh, wow. Is that the name of the film?",That's what it is.
"00:06:17,000 --> 00:06:24,000",I decided with this role that I would take on a tour around all 50 states.,Sometimes in the same scene.
"00:07:01,000 --> 00:07:05,000",I had the Marker Rita.,LAUGHTER
"00:07:42,000 --> 00:07:50,000",There would be nights where I'd be up to my eyeballs and a-holes.,LAUGHTER
"00:08:05,000 --> 00:08:07,000",Wasn't there a drunk guy?,"Oh, I get it!"
"00:08:06,000 --> 00:08:08,000","Oh, I get it!",Yeah!
"00:09:54,000 --> 00:09:59,000",Same thing all over me.,Yes!
"00:09:44,000 --> 00:09:56,000","Oh, sure thing.",Yes!
"00:09:59,000 --> 00:10:07,000",It was one of the greatest nights.,I love him.
"00:10:18,000 --> 00:10:24,000",Well...,That was amazing.
"00:12:37,000 --> 00:12:58,000","So, Zendaya would land, and I'm the superhero. I'm supposed to look cool.","And you were like, oh, my gosh, thank you."
"00:12:53,000 --> 00:12:58,000","You're actually very, very lovely about it.","And you were like, oh, my gosh, thank you."
