subclip_name,parent_clip,original_video,utterance_text,utterance_timestamp
22-001-001.mp4,22-001.mp4,22.mp4,"I just thought maybe you'd like to film more at home, you know?",0:00:23 --> 0:00:26
22-001-002.mp4,22-001.mp4,22.mp4,"It's... I mean, it's crazy, because I...",0:00:26 --> 0:00:29
22-001-003.mp4,22-001.mp4,22.mp4,I don't even know how you knew that I went to jail.,0:00:29 --> 0:00:31
22-001-004.mp4,22-001.mp4,22.mp4,I barely ever bring it up.,0:00:31 --> 0:00:33
22-001-005.mp4,22-001.mp4,22.mp4,What's up looking at?,0:00:35 --> 0:00:37
22-001-006.mp4,22-001.mp4,22.mp4,Yeah!,0:00:37 --> 0:00:38
22-002-001.mp4,22-002.mp4,22.mp4,"I just thought maybe you'd like to film more at home, you know?",0:00:23 --> 0:00:26
22-002-002.mp4,22-002.mp4,22.mp4,"It's... I mean, it's crazy, because I...",0:00:26 --> 0:00:29
22-002-003.mp4,22-002.mp4,22.mp4,I don't even know how you knew that I went to jail.,0:00:29 --> 0:00:31
22-002-004.mp4,22-002.mp4,22.mp4,I barely ever bring it up.,0:00:31 --> 0:00:33
22-002-005.mp4,22-002.mp4,22.mp4,What's up looking at?,0:00:35 --> 0:00:37
22-002-006.mp4,22-002.mp4,22.mp4,Yeah!,0:00:37 --> 0:00:38
22-002-007.mp4,22-002.mp4,22.mp4,Holy moly!,0:00:38 --> 0:00:39
22-003-001.mp4,22-003.mp4,22.mp4,I don't even know how you knew that I went to jail.,0:00:29 --> 0:00:31
22-003-002.mp4,22-003.mp4,22.mp4,I barely ever bring it up.,0:00:31 --> 0:00:33
22-003-003.mp4,22-003.mp4,22.mp4,What's up looking at?,0:00:35 --> 0:00:37
22-003-004.mp4,22-003.mp4,22.mp4,Yeah!,0:00:37 --> 0:00:38
22-004-001.mp4,22-004.mp4,22.mp4,I don't even know how you knew that I went to jail.,0:00:29 --> 0:00:31
22-004-002.mp4,22-004.mp4,22.mp4,I barely ever bring it up.,0:00:31 --> 0:00:33
22-004-003.mp4,22-004.mp4,22.mp4,What's up looking at?,0:00:35 --> 0:00:37
22-004-004.mp4,22-004.mp4,22.mp4,Yeah!,0:00:37 --> 0:00:38
