timestamp_range,cause_text,emotion_text
"00:01:08,000 --> 00:01:16,000",They should be called sausage steels.,I love it.
"00:01:14,000 --> 00:01:16,000",That's that dumb.,I love it.
"00:02:58,000 --> 00:03:04,000",That's the joke.,Yay.
"00:03:00,000 --> 00:03:04,000",That's the joke.,Yay.
"00:02:34,000 --> 00:02:36,000",Thanks.,I loved it.
"00:05:05,000 --> 00:05:11,000","That's very funny, Maddie.",Thank you.
"00:07:00,500 --> 00:07:12,500","So when my uncle Frank died, he wanted his remains to be buried in his favourite bear mug.",His last wish was to be Frank and Stein.
"00:07:07,500 --> 00:07:14,500",His last wish was to be Frank and Stein.,That's really good.
"00:08:49,500 --> 00:08:57,500",I call it my nicotine passions.,I like it.
"00:09:13,500 --> 00:09:22,500","If we don't get the proper support, people are going to think they're nuts.",That's good.
"00:09:25,500 --> 00:09:36,500",You put in spring water.,Oh my god.
"00:11:24,500 --> 00:11:30,500",That's a good one.,That's still the first one as well.
"00:11:56,500 --> 00:12:14,500",Where does someone go if they injure themselves during a game of pickle boot?,I hate that I laughed at that.
"00:12:24,500 --> 00:12:35,500",I met a guy from North Korea and asked him what his country was like.,Well he said he can't complain.
"00:12:32,500 --> 00:12:41,500",Well he said he can't complain.,I knew it.
"00:12:44,500 --> 00:13:00,500",What's the difference between Batman and a black man? Batman can go out at night time without Robin.,That's a good joke.
"00:13:11,500 --> 00:13:20,500",I got fired from my job for prank calling 911.,My boss told me it was just plain wrong.
"00:13:16,500 --> 00:13:23,500",My boss told me it was just plain wrong.,That's a great joke.
"00:13:31,500 --> 00:13:40,500","A grasshopper walks into a bar and the bartender says, Hey, we've got a drink named after you.","A grasshopper says, you got a drink named Steve?"
"00:13:45,500 --> 00:13:47,500","Oh, yeah.",It was the delivery.
"00:14:12,500 --> 00:14:16,500",Happy Father's Day.,"Oh, my fucking God."
"00:14:11,500 --> 00:14:13,500",What?,Happy Father's Day.
"00:15:11,500 --> 00:15:19,500",You were really good.,"Oh, my God."
"00:16:00,940 --> 00:16:03,279",He's so cute.,"Oh, okay."
"00:17:02,460 --> 00:17:05,460",A creepy crawly.,Oh!
"00:18:06,460 --> 00:18:09,460",You're up for joke to me.,You did it.
"00:18:56,460 --> 00:19:09,460","So Mickey Mouse gets a call from his lawyer. That tells him, Mickey, I'm sorry, you can't divorce Minnie just because she's funny.",I said she was fucking goofy.
"00:19:07,460 --> 00:19:10,460",I said she was fucking goofy.,No!
"00:19:10,460 --> 00:19:15,460",Does that have to laugh at that boy?,I love that boy.
"00:19:50,460 --> 00:19:54,460",That's a great joke.,Why are there no pharmacies in Africa?
