timestamp_range,cause_text,emotion_text
"00:01:54,639 --> 00:02:00,119",This is so messed up.,I know. I'm having the best time.
"00:01:54,639 --> 00:02:00,119",This is so messed up.,I know. I'm having the best time.
"00:03:32,919 --> 00:03:37,759","Oh, it's beautiful.",The girls really did a nice job.
"00:04:10,480 --> 00:04:57,840","That's how you know it's a good joke. It not only entertains, it informs.",LAUGHTER
"00:05:21,120 --> 00:05:48,120",Because I just gave you the business.,LAUGHTER
"00:05:06,560 --> 00:05:11,600",My white conquantization paper is online already.,The response has been amazing.
"00:05:57,560 --> 00:06:05,560",The doctor shoved a camera up into my sinuses.,LAUGHTER
"00:06:33,680 --> 00:06:37,839",He's like my mucus powered wide noise machine.,LAUGHTER
"00:06:33,680 --> 00:06:37,839",He's like my mucus powered wide noise machine.,LAUGHTER
"00:07:12,519 --> 00:07:16,680",since I make so much more money than how he...,LAUGHTER
"00:07:27,240 --> 00:07:31,800",Your incomplete set of star-check collector plates?,LAUGHTER
"00:07:12,519 --> 00:07:16,680",since I make so much more money than how he...,LAUGHTER
"00:07:27,240 --> 00:07:31,800",Your incomplete set of star-check collector plates?,LAUGHTER
"00:07:33,360 --> 00:07:35,800",I needed on eBay.,LAUGHTER
"00:08:13,319 --> 00:08:16,279",or be prepared to learn it.,LAUGHTER
"00:08:30,879 --> 00:08:34,720","Oh, that poor waiter.",LAUGHTER
"00:08:45,439 --> 00:08:50,199",under the terms of the relationship agreement.,That's so hot.
"00:09:16,960 --> 00:09:23,680",where they probably fell asleep in the matching pajamas.,LAUGHTER
"00:09:16,960 --> 00:09:23,680",where they probably fell asleep in the matching pajamas.,LAUGHTER
"00:09:27,639 --> 00:09:31,879",Like who? Like you and your dog.,LAUGHTER
"00:09:43,799 --> 00:09:48,600",not classified as a great ape.,LAUGHTER
"00:09:59,919 --> 00:10:02,919",as the weird kid on the playground.,LAUGHTER
"00:10:16,079 --> 00:10:20,079",But I made a video.,LAUGHTER
"00:10:25,599 --> 00:10:30,799",And I'd like to tell you why I should be chosen to... Go to Mars!,LAUGHTER
"00:10:34,399 --> 00:10:40,000","While my brother was getting an STD, I was getting a PhD.",LAUGHTER
"00:10:41,120 --> 00:10:44,559",Penicillin can't take this away.,LAUGHTER
"00:10:51,519 --> 00:10:56,519","In fact, animals don't trust me because I smell like nothing.",Yet.
"00:11:27,000 --> 00:11:30,519",There's actually peanut brittle left.,LAUGHTER
"00:11:27,000 --> 00:11:30,519",There's actually peanut brittle left.,LAUGHTER
"00:11:57,240 --> 00:12:01,080","Also, picnics are no picnic.",LAUGHTER
"00:12:01,080 --> 00:12:05,560","Where should we go for lunch? Oh, I know, the ground.",LAUGHTER
"00:12:28,120 --> 00:12:31,639",So you even get a title by the window.,LAUGHTER
"00:13:42,839 --> 00:13:47,719","Well, all these years have been using stalemate when I really mean impasse. I feel foolish.",LAUGHTER
"00:15:13,480 --> 00:15:21,480","That's a joke, because the pregnancy test says I'm...",It's incredible.
"00:15:19,480 --> 00:15:23,480",It's incredible.,We're gonna be parents?
"00:17:41,480 --> 00:17:45,480",He is.,Do we name him?
"00:19:53,480 --> 00:20:01,480","Amy, if you want to be my girlfriend again, I really want to be your boyfriend.",I really want that too.
"00:19:53,480 --> 00:20:01,480","Amy, if you want to be my girlfriend again, I really want to be your boyfriend.",I really want that too.
"00:20:01,480 --> 00:20:10,480",Good. Because I love you.,I love you too.
"00:21:53,480 --> 00:22:01,480",I made cookies in the shape of male genitals.,Whoa!
"00:23:33,519 --> 00:23:37,519","My most treasured is an autographed napkin,",given to me by my very thoughtful friend Penny.
"00:28:45,519 --> 00:28:51,519",Will you marry me?,Oh.
"00:28:25,519 --> 00:28:51,519","Well, you have me.",Oh.
"00:31:39,519 --> 00:31:47,519",You want to come with me?,Really?
"00:31:39,519 --> 00:31:47,519",You want to come with me?,Really?
"00:34:47,519 --> 00:35:17,519","Oh, that's clever.","Oh, yes, Leonard. Yes, it was."
"00:35:30,519 --> 00:35:48,519",I slipped them in there earlier today.,"Oh, look, see? Even I'm a winner."
"00:38:05,519 --> 00:38:08,519",Happy Star Wars Day!,Wow!
"00:38:08,519 --> 00:38:12,519",A death star cake!,We were hoping it might cheer you up.
"00:38:05,519 --> 00:38:08,519",Happy Star Wars Day!,Wow!
"00:38:08,519 --> 00:38:12,519",A death star cake!,We were hoping it might cheer you up.
"00:38:31,519 --> 00:38:38,519","Sorry, I'm late. I wanted to swing by the lab and pick up some even cooler tools for us to use.",I didn't know you were coming again.
"00:38:52,519 --> 00:38:58,519",Here's some silver or crucible and an unsettling torch to melt it down.,"Ooh, that looks like fun."
"00:39:32,519 --> 00:39:43,519",I take it back. That was funny.,The philosopher Henri Bergsson says it's funny when a human being behaves like an object.
"00:42:59,519 --> 00:43:04,519",You got your job back.,That is great news.
"00:42:59,519 --> 00:43:04,519",You got your job back. That is great news.,"I didn't want to say anything, but you are making the right choice."
